"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","incomequartile","orig.id","whichway"
"1181","Iowa","IA","Lyon County, Iowa",81.88131313,14.47285354,0.284090909,2.162247475,14.1,85.9,15.9,3.7,74.7,26966.61302,6.4,9.05,11427,29.1,5.75,5.75,97.65,0.15,1.45,0.3,0.1,0.4,38.7,1.8,1,0.06,14.6,0.154,0.169,0.3,0.086,77.1,NA,0.119,0.027,193.65,NA,67.4,NA,"Q3","1181","Republican"
"365","Missouri","MO","Howard County, Missouri",67.55308184,26.36569779,0.845186559,4.308390023,14.4,85.6,21.6,7.5,78.45,22073.97238,27.6,12.35,10001,33.5,15.5,21.3,90.75,5.5,1.2,0.45,0.3,1.7,39,3.2,2.7,0.08,21.8,0.283,0.36,0.316,0.107,264.6,81.8,0.162,0.061,128.77,NA,67.2,NA,"Q2","365","Republican"
"943","Missouri","MO","Macon County, Missouri",76.44808022,20.02902758,0.752078111,2.309011743,17.9,82.1,15,4.4,73.7,22778.36064,22.2,14.05,15511,38.4,15.7,21.1,94.7,2.3,1.1,0.25,0.25,1.4,42,3.1,4.3,0.07,45.1,0.25,0.183,0.309,0.109,224.5,38.8,0.178,0.064,190.18,NA,104.3,NA,"Q2","943","Republican"
"291","South Carolina","SC","Pickens County, South Carolina",73.85975323,21.13114117,0.667062266,2.432935688,18.6,81.4,23.5,9.8,83.35,21453.90953,21.75,8.2,117658,55.9,16.55,17.65,87.5,6.55,3,1.5,0.2,1.25,34.5,3.7,3.8,0.09,30.9,0.265,0.204,0.285,0.097,321.1,88.8,0.204,0.082,339.87,4.28,78.6,6.1,"Q1","291","Republican"
"1410","North Carolina","NC","Cabarrus County, North Carolina",58.48662667,38.51343927,NA,2.999934067,15,85,23.5,7.1,77.4,31233.13969,18.9,8.75,169742,52.8,11.1,15.45,72.9,14.5,8.9,1.65,0.25,1.75,36.3,3.2,3.2,0.09,42.4,0.257,0.193,0.309,0.099,396.8,159.5,0.177,0.088,149.66,5.23,69.6,6.4,"Q4","1410","Republican"
"986","Maine","ME","Piscataquis County, Maine",59.08792651,33.88013998,1.957567804,5.074365704,11.7,88.3,15,4.6,72.6,23049.20127,38.5,12.9,17307,53.9,16.35,25.4,96.65,0.15,0.85,0.5,0.55,1.25,47,4.1,3.9,0.07,28.7,0.303,0.217,0.325,0.121,137.8,NA,0.152,0.101,171.27,NA,85.5,NA,"Q2","986","Republican"
"2246","West Virginia","WV","Ohio County, West Virginia",62.16398227,30.59655424,2.143779112,4.141646557,10.9,89.1,25.9,10.3,78.5,23145.11746,32.35,9.35,44404,42.7,15.7,24.5,92.9,3.6,0.75,0.85,0.1,1.75,43,3.4,3.4,0.09,35.7,0.32,0.255,0.273,0.121,210.2,122,0.153,0.069,524.18,NA,57,8.4,"Q2","2246","Republican"
"442","Tennessee","TN","Loudon County, Tennessee",75.47202197,21.09509097,0.373326468,2.458805355,15.7,84.3,22.6,7.2,69.75,25760.62953,28,7.15,46866,22.3,13.45,23.4,91.55,1,5.65,0.4,0.2,1.25,45.1,3.7,3,0.08,53.4,0.253,0.236,0.295,0.138,195,63.8,0.169,0.067,349.6,NA,74.8,7,"Q3","442","Republican"
"472","Illinois","IL","Greene County, Illinois",74.68422952,21.68892097,0.70371707,2.923132443,14.8,85.2,13.5,4.8,78.75,25710.15556,18.45,10.2,13825,64.9,14.85,21.5,97.45,0.65,0.7,0.1,0.15,0.9,41.4,NA,NA,0.09,44.1,0.284,0.457,0.304,0.103,268.2,50.6,0.133,0.088,204.62,NA,75.8,NA,"Q3","472","Republican"
"1747","Arkansas","AR","Prairie County, Arkansas",72.76162791,23.60465116,0.290697674,1.627906977,22,78,11.5,3.4,65.7,23194.91048,30.1,15.7,8745,64.7,16.9,21.2,84.4,13.85,0.6,0.1,0.55,0.55,43.5,4.6,3.1,0.09,47.9,0.28,0.268,0.328,0.124,255.3,62.4,0.218,0.073,99.65,NA,70.1,NA,"Q2","1747","Republican"
"666","Arkansas","AR","Saline County, Arkansas",68.1882156,25.19494846,1.570999277,2.784434554,12.4,87.6,22.6,7,77,28959.83143,16.1,4.9,101059,48.4,10.15,13.9,90,4.35,3.1,0.9,0.45,1.25,38.6,4,4.2,0.08,38.3,0.287,0.23,0.315,0.114,189,46.2,0.161,0.06,245.53,4.31,61.7,7.4,"Q4","666","Republican"
"77","Nebraska","NE","Valley County, Nebraska",81.49171271,15.51565378,0.552486188,2.44014733,8.8,91.2,17.1,3.9,76.5,22200.84572,22.15,14.55,4240,33,15.95,20.7,97.45,0.05,1.95,0.15,0.05,0.35,47,2.5,2.2,0.06,19.4,0.182,0.088,0.298,0.116,189.7,NA,0.149,0.029,NA,NA,98.1,NA,"Q2","77","Republican"
"1724","Virginia","VA","Clarke County, Virginia",57.27462797,37.47386545,0.676423564,3.209937277,12.5,87.5,29.2,11.9,76.75,37086.5727,14.05,6.3,14196,51.9,6.5,7.65,88.25,5.65,3.5,0.75,0.25,1.6,43.8,2.6,3.4,0.08,22.6,0.2,NA,0.298,0.109,182.4,123.2,0.123,0.051,121.05,NA,65.7,NA,"Q4","1724","Republican"
"835","Washington","WA","Pacific County, Washington",50.04218618,43.09552826,1.856191994,4.077997563,13.9,86.1,16.8,6,72.35,23403.81715,31.3,9.7,21130,58.3,16.65,20.7,85.2,0.3,7.45,2,2.05,2.95,49.8,4.3,4.5,0.06,36.8,0.334,0.21,0.35,0.129,81.2,102.4,0.217,0.113,180.81,NA,101,NA,"Q2","835","Republican"
"1636","Michigan","MI","Otsego County, Michigan",65.97493814,28.3821534,1.300981722,3.847074787,10.8,89.2,19.4,6.4,73.95,22541.8308,23.35,7.35,24048,34.7,12.9,17.25,96,0.15,1.1,0.4,0.35,1.95,42.1,4.1,4.1,0.07,31,0.241,0.241,0.317,0.114,103.8,52.8,0.14,0.109,174.84,NA,78.5,NA,"Q2","1636","Republican"
"923","Arkansas","AR","Sevier County, Arkansas",71.79431072,23.52297593,0.437636761,1.81619256,31.2,68.8,9.3,2.6,69.1,19445.43619,36,13,16787,40.1,21.25,29.9,61.8,3.9,30.05,0.6,1.85,1.85,34.2,4.2,3.7,0.07,79.7,0.344,0.224,0.379,0.138,537.8,NA,0.31,0.078,217.99,9.53,83,10.3,"Q1","923","Republican"
"1146","Tennessee","TN","Marshall County, Tennessee",71.6277846,24.97807402,0.517453078,2.236449746,21,79,11.5,3,73.3,24770.88127,28.35,12.15,29957,29.4,17.25,27.1,86.55,6.9,4.6,0.35,0.2,1.4,38.7,5.9,3,0.09,53.7,0.307,0.247,0.299,0.111,278.5,90.6,0.189,0.112,299.99,NA,84.3,10.4,"Q2","1146","Republican"
"490","Kansas","KS","Sherman County, Kansas",80.52818289,13.4016555,1.773748522,4.296413086,9.9,90.1,19.1,5.2,82.75,22872.95651,10,10.8,5962,34.7,15.8,24.6,84.85,0.45,10,2.05,0.55,2.15,41.9,3,1.9,0.11,49.5,0.332,0.163,0.324,0.119,115.6,NA,0.178,0.031,201.92,NA,66.6,NA,"Q2","490","Republican"
"639","Idaho","ID","Boise County, Idaho",70.12067156,20.38300105,0.9181532,4.538300105,12.8,87.2,23.9,8.1,78.05,29129.06222,10.9,9.85,7247,42.4,14.5,21.85,92.75,0.1,3.9,0.5,0.5,2.15,46.3,4.4,4.5,0.09,19.6,0.212,0.206,0.258,0.101,185.1,NA,0.193,0.086,98.79,NA,84.3,NA,"Q4","639","Republican"
"932","Ohio","OH","Delaware County, Ohio",55.60384012,39.5440605,0.61737645,3.915045804,4.4,95.6,49.5,17,84.1,43484.0254,5.25,5.45,167041,56.3,4.55,4.9,88.6,3.5,1.95,3.85,0.1,1.9,36.5,2.3,2.5,0.07,14.3,0.167,0.123,0.255,0.087,158.1,66.3,0.075,0.05,97.86,1.07,33.3,4.1,"Q4","932","Republican"
"1709","Virginia","VA","Craig County, Virginia",76.83189655,19.43247126,0.718390805,1.939655172,16.6,83.4,13.6,5.2,74.6,27748.2273,3.35,10.95,5122,50,8.35,9.55,98.3,0.05,0.6,0.1,0.05,0.85,43.2,4.6,NA,0.07,31.4,0.218,NA,0.3,0.101,98.1,NA,0.156,0.068,57.89,NA,85.1,NA,"Q3","1709","Republican"
"163","Iowa","IA","Cass County, Iowa",67.3990078,27.58327427,0.737065911,2.919914954,8.9,91.1,14.5,3.5,72.05,23159.97175,26.6,8,13905,64.2,14.55,22.85,97.05,0.3,1.6,0.15,0.15,0.65,44.6,1.5,3,0.07,38.3,0.275,0.154,0.354,0.086,289.5,NA,0.113,0.053,139.04,NA,84.5,NA,"Q2","163","Republican"
"1638","West Virginia","WV","Clay County, West Virginia",77.38336714,19.13455037,0.811359026,2.028397566,27,73,8.3,4.2,75.55,25630.08064,39.1,17.6,9723,56.1,24.45,29.9,98.05,0.3,0.2,0.05,0.1,1.35,41.3,5.6,4.1,0.09,67,0.199,0.222,0.383,0.146,85.5,NA,0.191,0.123,NA,NA,100.2,NA,"Q3","1638","Republican"
"475","Texas","TX","Stephens County, Texas",87.83666377,10.07819288,0.20272227,1.882421083,17.8,82.2,12.2,3.4,66.2,20418.99556,29.1,9.45,9552,47.9,20.35,34,76.15,2.6,19.55,0.7,0.65,0.3,39.8,NA,NA,0.07,73.1,0.306,NA,0.293,0.108,136.2,161.8,0.291,0.057,117.03,NA,89.9,NA,"Q1","475","Republican"
"2454","Indiana","IN","Randolph County, Indiana",71.87260903,23.39326702,NA,4.734123948,15.3,84.7,10.4,4.4,76.9,24557.40699,23.85,9,26042,22.2,12.75,18.7,95.55,0.3,2.5,0.15,0.2,1.3,40.2,5,3.6,0.09,45.8,0.35,0.235,0.348,0.13,390.7,49.3,0.176,0.097,45.57,NA,56.3,NA,"Q2","2454","Republican"
"2122","Kentucky","KY","Adair County, Kentucky",80.63418783,16.07338112,0.425221723,1.713036083,31.3,68.7,14.4,7.8,76.45,19131.21746,21.3,29.2,18264,33.3,21.25,23.6,94.25,3.2,1,0.35,0.15,1,38.5,5.7,5,0.09,41.5,0.269,0.34,0.339,0.125,230.1,NA,0.213,0.077,52.44,NA,77.6,NA,"Q1","2122","Republican"
"1798","North Carolina","NC","Lee County, North Carolina",55.2155941,42.06516453,NA,2.719241368,19.3,80.7,18,5.2,74.6,25210.32857,22.85,10.2,57892,45.7,14.9,21.9,60.95,19.4,17,0.85,0.4,1.35,37.6,3.4,4,0.1,69.7,0.385,0.2,0.292,0.11,478.3,304.5,0.22,0.118,216.38,11.89,77.4,7.3,"Q3","1798","Republican"
"172","Pennsylvania","PA","Clarion County, Pennsylvania",71.76362908,24.34643327,0.652136605,2.665751387,12.8,87.2,17.2,6.3,75.05,22044.34699,22.8,9,39922,29.8,15,19.8,97,1.1,0.55,0.45,0.05,0.8,39.2,3,2.7,0.08,19,0.307,0.177,0.317,0.113,154.9,48.8,0.135,0.09,158.47,NA,65.5,NA,"Q2","172","Republican"
"445","Kentucky","KY","Bullitt County, Kentucky",72.69651079,22.89621124,0.70172519,2.673767127,16.8,83.2,11.1,3.9,77.6,30246.45619,16.4,8.6,73923,49,9.5,11.65,96.2,0.7,1.25,0.45,0.3,1.1,37.4,6.2,4.9,0.09,32.4,0.322,0.277,0.342,0.124,222.3,85.9,0.142,0.085,120.13,2.61,54.6,6.3,"Q4","445","Republican"
"687","Kansas","KS","Wichita County, Kansas",81.90578158,14.88222698,1.284796574,1.927194861,19.3,80.7,15.9,1.8,78.45,23471.27619,16.45,3,2205,5.3,11,20,72.4,0.35,25.85,0.05,0.1,1.2,40,5.4,NA,NA,62.9,0.341,0.144,0.337,0.11,NA,NA,0.221,0.054,288.1,NA,NA,NA,"Q2","687","Republican"
"1815","Texas","TX","Camp County, Texas",70.47556143,27.74108322,0.330250991,1.453104359,25.3,74.7,14.9,5.1,74.8,21713.43365,41,10.25,12445,19.4,21.55,34.1,59.65,16.95,21.25,0.5,0.25,1.4,38.1,NA,NA,0.07,79.8,0.372,NA,0.317,0.127,370.8,122.4,0.29,0.077,248.23,NA,94.4,NA,"Q1","1815","Republican"
"1355","South Dakota","SD","Lyman County, South Dakota",68.75439831,25.96762843,NA,3.9408867,14.5,85.5,19.8,5.6,66.8,18586.54667,38.6,4.7,3805,36.4,18.75,26.1,59.05,0.1,0.55,0.15,38.6,1.55,34.9,2.7,2,0.05,75.3,0.537,0.206,0.355,0.109,683.1,NA,0.218,0.058,NA,NA,107.1,NA,"Q1","1355","Republican"
"75","Montana","MT","Daniels County, Montana",76.57563025,17.54201681,0.630252101,5.25210084,5.4,94.6,19.7,5.5,84.55,21280.87778,17.15,7.55,1617,0,14.9,25.45,94.25,0.1,0.9,0.1,3.9,0.8,49.2,1.1,NA,NA,NA,0.241,0.142,0.244,0.091,NA,NA,0.21,0.04,195.16,NA,NA,NA,"Q1","75","Republican"
"1340","New York","NY","Niagara County, New York",57.23604651,38.24186047,1.422093023,3.1,11.6,88.4,19.6,8.4,77.7,27867.64698,23.4,7.9,215541,42.1,12.55,18.05,87.9,6.55,1.95,0.85,0.9,1.85,41.2,4.2,4.2,0.08,26.9,0.348,0.23,0.295,0.104,416.6,95,0.108,0.09,383.79,3.3,51.6,7.2,"Q3","1340","Republican"
"488","Oklahoma","OK","Washington County, Oklahoma",71.19056196,22.72604467,NA,6.083393372,11.9,88.1,26.1,7,74.55,25619.60413,27.1,5.65,50384,50.3,13.65,22.2,76.5,2.35,4.85,1.1,8.35,6.8,41.2,3.6,3.3,0.08,49.3,0.345,0.226,0.308,0.118,128.2,41.5,0.19,0.041,288.74,NA,79.1,8.6,"Q3","488","Republican"
"2304","North Carolina","NC","Cherokee County, North Carolina",77.27994228,20.26695527,NA,2.453102453,18.5,81.5,15.9,6.4,77.45,23268.26603,23.9,14.55,26823,38.4,13.9,15.3,92.8,0.85,2,0.4,1.65,2.3,47.4,4.4,3.1,0.1,45.7,0.257,0.251,0.275,0.136,125,60.1,0.216,0.128,206.74,5.31,94.4,12,"Q2","2304","Republican"
"1182","North Carolina","NC","Robeson County, North Carolina",51.43711664,46.57829371,NA,1.984589649,31.3,68.7,12.1,4.1,73.05,21055.45048,50.4,22.05,130927,39.7,30.15,44.3,28,23.95,8.1,0.65,37,2.3,34.1,4.8,3.7,0.11,74.6,0.563,0.256,0.407,0.155,853.8,354.1,0.264,0.13,866.55,23.24,100.7,12.8,"Q1","1182","Republican"
"2169","West Virginia","WV","Preston County, West Virginia",75.33898977,19.52263897,1.030846087,3.385932916,17.5,82.5,11.6,3.6,68.15,24650.81238,17.05,10.6,31849,23.8,14.45,18.85,96.05,1.95,0.85,0.1,0.15,0.9,41.3,4.1,3.9,0.09,43.4,0.253,0.268,0.355,0.107,121.6,37.8,0.202,0.064,267.31,4.84,81.3,NA,"Q2","2169","Republican"
"1809","Alabama","AL","Colbert County, Alabama",67.88759847,29.62722326,0.430439373,2.054738894,19.9,80.1,16.4,5.9,74.75,25896.27111,28.7,9.2,54487,30.9,14.85,21.65,80,16,1.8,0.4,0.5,1.35,41.6,4.4,4.8,0.1,53.2,0.331,0.296,0.322,0.137,598,111.1,0.15,0.076,364.67,6.04,77.1,8.5,"Q3","1809","Republican"
"1842","Georgia","GA","Gordon County, Georgia",80.48275862,16.84880637,NA,2.668435013,26.7,73.3,12.7,4.4,71.55,25826.81937,23.85,18.3,53473,29.1,16.5,21.75,80.45,3.55,13.75,0.9,0.25,1.05,35.3,4.3,4.4,0.07,66.3,0.263,0.236,0.285,0.103,149.2,66.2,0.254,0.1,331.31,4.59,67.3,8.4,"Q3","1842","Republican"
"2275","Oklahoma","OK","Canadian County, Oklahoma",72.34208145,21.11493213,NA,6.542986425,9.2,90.8,25.3,7.1,77.7,31492.42635,11.75,6.75,109564,40,7.85,11.05,81.15,2.45,6.15,2.7,3.85,3.7,35.7,3.9,3.8,0.08,34.4,0.248,0.209,0.311,0.106,195,121.9,0.157,0.042,489.36,3.63,60.7,6.7,"Q4","2275","Republican"
"300","Nebraska","NE","Grant County, Nebraska",93.14720812,5.076142132,0.253807107,1.52284264,4.9,95.1,17.3,3.8,68.2,19819.76191,33.65,4.3,611,37.5,18,29.45,98.35,0,0.7,0.1,0.1,0.75,46.6,NA,2.1,NA,NA,0.303,NA,0.284,0.087,NA,NA,0.165,0.037,NA,NA,NA,NA,"Q1","300","Republican"
"2401","Oklahoma","OK","Kay County, Oklahoma",72.45013397,22.23280738,NA,5.317058648,14.4,85.6,19.9,6.2,75.4,22271.72191,39.25,9.4,46260,39.6,18.15,28.15,78.55,1.9,6.25,0.65,8.75,3.95,39.5,4.6,5,0.08,71.3,0.352,0.204,0.356,0.14,331.5,84.1,0.235,0.063,413.56,4.6,98.5,8.2,"Q2","2401","Republican"
"2057","Missouri","MO","Oregon County, Missouri",78.64493997,18.54631218,0.300171527,1.886792453,23.2,76.8,10.2,3.1,76.25,18645.17016,26.55,22.5,10601,48.7,24.95,31.95,94.25,0.2,0.95,0.4,2.4,1.75,45,NA,2.9,0.09,51.1,0.292,0.228,0.323,0.133,190.6,54,0.221,0.069,180.92,NA,78.3,NA,"Q1","2057","Republican"
"2475","Wisconsin","WI","Monroe County, Wisconsin",58.51488187,36.03866217,1.171115884,3.584944257,12.3,87.7,16.4,4.7,69.55,27965.3908,22.4,8.35,43844,32.6,13.3,20.9,93.1,0.9,3.35,0.65,1.05,0.95,38.3,3.1,3.3,0.06,34.8,0.26,0.226,0.289,0.086,321.9,32.8,0.114,0.067,127.84,NA,64,7.6,"Q3","2475","Republican"
"1049","Missouri","MO","Carroll County, Missouri",79.79821142,17.08323779,0.389818849,2.430635175,15.9,84.1,17.9,6.1,73.05,27171.93207,16.35,11.85,9555,47.6,13.95,19.4,95.6,1.9,1.2,0.25,0.2,0.85,42,3.2,2.7,0.08,36.8,0.243,0.209,0.316,0.108,172.8,NA,0.162,0.08,88.26,NA,111.8,NA,"Q3","1049","Republican"
"1426","Texas","TX","Gregg County, Texas",69.36540554,28.09863411,0.362625408,2.173334945,17.6,82.4,20.3,5.9,72.65,25377.30318,29.35,10.9,119315,46.2,16.25,23.5,62.55,19.8,14.7,1.05,0.35,1.55,35.4,3.9,2.8,0.1,73.6,0.38,0.171,0.324,0.112,813.3,329,0.241,0.057,585.09,8.82,75.1,6.8,"Q3","1426","Republican"
"1126","Nebraska","NE","Johnson County, Nebraska",65.72403706,27.30375427,1.072647489,5.89956119,17.7,82.3,11.8,3.7,69.35,26368.38095,22.65,11.5,5160,40.4,13.2,16.2,82.85,5.5,8.25,1.7,1.35,0.4,43.1,2.4,1.9,NA,27,0.151,0.188,0.3,0.089,76.8,NA,0.149,0.037,19.08,NA,88.3,NA,"Q3","1126","Republican"
"1233","Michigan","MI","Keweenaw County, Michigan",56.96291113,36.87893632,1.399580126,4.33869839,9.2,90.8,22,7.7,67.6,20422.62254,42.45,6.75,2190,0,20.05,41.4,97.7,0.05,0.6,0,0.65,0.95,50.6,NA,NA,NA,NA,0.21,NA,0.322,0.125,460.2,NA,0.158,0.122,123.25,NA,NA,NA,"Q1","1233","Republican"
