"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","incomequartile","orig.id","whichway"
"132","Georgia","GA","Gwinnett County, Georgia",45.21425859,50.95622216,NA,3.829519249,12.7,87.3,34.9,10.9,78.9,32855.99524,17.3,8,786116,49.8,10.25,14.1,47.95,21.35,18.45,9.95,0.2,2.05,33.3,2.6,2.7,0.08,33,0.28,0.136,0.253,0.074,355.1,195.3,0.238,0.078,256.77,5.37,40.6,6.2,"Q4","132","Democrat"
"321","Wisconsin","WI","Rock County, Wisconsin",41.95328012,52.41794704,1.179323854,3.809815706,12.6,87.4,19.8,6.5,76.2,28571.40921,20.15,7,159580,41.6,11.65,16.9,85.65,4.65,6.85,1,0.2,1.6,37.5,3.7,3.5,0.07,38.5,0.357,0.233,0.304,0.085,473.5,90.1,0.11,0.084,246.49,3.06,70.1,5.8,"Q4","321","Democrat"
"94","Mississippi","MS","Jefferson Davis County, Mississippi",39.53823954,59.64405964,0.048100048,0.336700337,26.7,73.3,11.9,3.1,72.4,21749.43651,55.1,13.3,12604,34.6,27.6,41.5,39.8,58,0.5,1.2,0.15,0.4,39.7,4.1,5.2,0.15,69.8,0.61,0.275,0.369,0.141,1039.8,354.1,0.234,0.115,NA,25.8,124.7,NA,"Q1","94","Democrat"
"178","South Carolina","SC","Allendale County, South Carolina",22.0234768,76.07602012,0.307434321,0.614868642,26.8,73.2,13.2,3.8,69.15,20217.24127,63.1,26.6,10439,66.3,41.4,53.4,24.45,71.2,3.4,0.2,0.2,0.55,37.6,3.7,2.9,0.12,86.6,0.672,0.221,0.367,0.155,1001.9,683,0.186,0.169,1102.47,14.55,82.2,18.6,"Q1","178","Democrat"
"374","North Carolina","NC","Washington County, North Carolina",41.86426819,57.07277187,NA,1.062959935,24,76,11.8,3.8,78.45,23237.24254,65.25,18.1,13103,40.6,25.3,42.6,45.3,49.7,3.55,0.25,0.3,0.9,43.1,4.7,2.7,0.12,60.9,0.561,NA,0.33,0.142,639.8,415.5,0.157,0.122,923.41,NA,40.7,NA,"Q2","374","Democrat"
"361","North Carolina","NC","Wake County, North Carolina",37.89231612,58.39296199,NA,3.714721885,8.4,91.6,47.4,16,81.6,35147.96826,13.9,7.05,864876,54.6,9.55,11.8,63.7,20.15,9.05,5,0.3,1.95,34.1,2.8,2.6,0.08,26.2,0.275,0.129,0.248,0.07,533.6,364,0.154,0.075,273.93,3.63,38.4,6.6,"Q4","361","Democrat"
"357","South Dakota","SD","Todd County, South Dakota",22.91764706,70.82352941,NA,4.517647059,17,83,18.1,6.4,73.3,18469.07429,67.55,38.55,9804,55.7,48.05,59,11.45,0.2,3.45,0.4,82.4,2.15,23.4,3.9,3.1,0.08,118.8,0.628,0.394,0.421,0.149,1883.5,NA,0.153,0.09,NA,NA,236.3,13.7,"Q1","357","Democrat"
"401","California","CA","San Diego County, California",38.23522144,56.07101659,1.588690171,3.86813239,14.7,85.3,34.1,12.7,76.05,32687.72921,16.05,7.7,3041428,52.2,11.9,15.75,49.85,4.8,31.2,10.3,0.45,3.4,34.5,3.5,3.7,0.07,33.6,0.291,0.121,0.231,0.075,488.7,457.5,0.19,0.089,383.46,3.68,47.3,4.9,"Q4","401","Democrat"
"159","Wisconsin","WI","Eau Claire County, Wisconsin",43.08616864,50.42714497,1.292529586,4.622781065,8.2,91.8,30.2,10,75.85,22494.85397,20.5,6.5,98079,43.6,14.6,14.35,92.75,0.85,1.55,3.1,0.5,1.25,33.1,3.1,2,0.06,16.6,0.244,0.168,0.288,0.069,406.5,41.9,0.102,0.059,161.78,NA,51.6,5.6,"Q2","159","Democrat"
"149","Virginia","VA","Brunswick County, Virginia",39.82995422,58.5088293,0.327011118,0.941792021,32.8,67.2,11.9,3.5,73.95,23925.71937,45.8,21.4,17610,17.8,19.4,31.35,40.65,57.3,1.1,0.2,0.1,0.65,40,3.4,4.9,0.11,43.2,0.506,0.296,0.349,0.135,587.1,413,0.171,0.106,104.5,NA,41.8,NA,"Q2","149","Democrat"
"1","California","CA","San Benito County, California",36.82563169,57.19326201,1.553608013,3.790120646,26.2,73.8,18.3,5.1,76.9,29406.43175,13.65,7.4,55010,45.8,11.4,12.9,39.65,0.8,54.5,2.4,0.5,2.15,33.7,3.6,2.6,0.06,34.5,0.268,NA,0.243,0.074,358.5,74.3,0.193,0.139,395.06,3.41,36.7,4.1,"Q4","1","Democrat"
"396","Vermont","VT","Grand Isle County, Vermont",39.35944944,55.4261514,1.29698253,3.467443092,7.9,92.1,28.6,10.3,79.55,30421.66191,10.1,3.2,7272,54.2,6.55,10.1,95.8,0.25,0.85,0.2,0.7,2.15,44.5,3,3.1,0.08,27.3,0.256,0.156,0.277,0.072,259.7,120.1,0.088,0.059,27.57,NA,NA,NA,"Q4","396","Democrat"
"380","Virginia","VA","Charles City County, Virginia",36.87583445,59.91989319,0.560747664,1.73564753,25.2,74.8,10.9,4.6,72.2,30170.10127,9.7,12.65,7201,12.8,9.95,11.1,42.35,46.85,1,0.35,7,2.4,45.6,2.8,2.9,0.09,26.8,0.366,NA,0.356,0.143,580,216,0.201,0.077,68.58,NA,72.2,NA,"Q4","380","Democrat"
"99","Arkansas","AR","Pulaski County, Arkansas",38.36198789,56.04065561,0.971245125,2.708701704,11.8,88.2,30.7,11.5,75.35,28503.21016,26.7,9.3,379133,59.7,15.9,24.6,56.65,34.25,5,1.85,0.3,1.9,35.7,3.2,3.3,0.11,57,0.454,0.192,0.331,0.111,792.9,484.8,0.183,0.066,1128.82,15.81,76.6,9.2,"Q4","99","Democrat"
"334","Minnesota","MN","Hennepin County, Minnesota",28.50958308,63.82023775,1.532757298,3.62747605,7.9,92.1,44,14.7,78.35,35493.43842,17.9,7.25,1144324,49.5,11.65,15.95,73.4,10.9,6.35,5.85,0.75,2.65,35.9,2.7,2.5,0.07,27.3,0.316,0.141,0.219,0.066,489.5,397.4,0.109,0.053,453.01,4.43,56.5,5.6,"Q4","334","Democrat"
"173","Ohio","OH","Hamilton County, Ohio",43.03088608,52.55367089,0.891392405,3.227848101,12.3,87.7,32.5,12.4,78.85,29786.21524,26.6,9.2,827120,47.8,14.8,21.7,68.9,24.8,2.25,1.9,0.15,2,36.9,3.3,3.7,0.1,43.2,0.425,0.189,0.284,0.106,805.8,331.4,0.139,0.07,534.73,10.29,61.9,10.6,"Q4","173","Democrat"
"98","Ohio","OH","Cuyahoga County, Ohio",30.8444353,65.83577662,0.861752653,2.147694735,13.6,86.4,28.2,11.4,79.1,29237.83461,27.35,11.2,1288204,52.2,16.4,24.45,62.45,28.95,4.55,2.4,0.15,1.5,39.7,3.3,4.1,0.1,40.3,0.444,0.187,0.272,0.106,810.9,341,0.142,0.073,578.53,9.13,56.6,9.6,"Q4","98","Democrat"
"393","California","CA","Solano County, California",31.77801842,62.25467267,1.67748467,3.818231913,14.2,85.8,24,7.3,76.6,35535.11524,15.45,7.15,409902,43.1,10.15,13.7,42.45,14.15,23,14,0.5,5.9,36.5,4,3.3,0.07,30.4,0.324,0.135,0.271,0.104,314.3,345,0.143,0.101,467.94,8.02,51.7,6.1,"Q4","393","Democrat"
"403","North Carolina","NC","Orange County, North Carolina",23.01515721,74.03858199,NA,2.946260804,10.1,89.9,54.4,29.1,82.95,25630.96953,16.6,7.1,129152,57.6,16.2,14.85,71.9,12.6,7,6.25,0.35,2,33.3,2.8,3.1,0.08,11,0.265,0.116,0.208,0.067,405.1,247.5,0.164,0.062,180.74,4.05,44.8,8,"Q3","403","Democrat"
"82","Mississippi","MS","Washington County, Mississippi",31.1646421,67.57943861,0.212751355,0.679431748,27.5,72.5,17.6,6.2,76.65,19492.37937,53.4,20.45,53474,48.8,34,48.1,28.3,68.8,1.35,0.75,0.1,0.65,34.8,3.6,3.6,0.14,89.3,0.655,0.237,0.4,0.139,1343.1,478.3,0.203,0.141,264.71,19.2,91.1,12.1,"Q1","82","Democrat"
"382","Texas","TX","Jim Hogg County, Texas",20.29259084,77.15903728,0.566304861,1.982067013,31.1,68.9,12.4,3.4,67.6,17857.9908,23.65,19.1,5136,14.1,12.4,16.7,5.7,0.15,92.65,0.15,1.2,0.1,33.1,NA,NA,0.11,115.6,0.51,NA,0.295,0.102,455.8,NA,0.28,0.048,165.54,NA,NA,NA,"Q1","382","Democrat"
"385","Virginia","VA","Richmond city, Virginia",15.04792872,78.79734809,1.14332165,3.912419239,19.8,80.2,32.6,13,73.3,24237.08921,37.2,15.5,202595,38,23.7,36.95,39.4,50.65,5.55,1.95,0.25,2.25,32.6,3.6,3.3,0.12,47.3,0.65,0.186,0.279,0.096,1359.4,1161.6,0.189,0.085,763.39,27.93,81.1,13.2,"Q2","385","Democrat"
"266","Georgia","GA","Clayton County, Georgia",13.15612533,85.06432382,NA,1.779550854,17.4,82.6,17.9,5.2,73.6,26955.76413,25.75,7.75,265538,47.9,15.6,22.85,17.85,62.5,12.55,5,0.2,1.95,31.1,3.3,3.7,0.11,58.4,0.503,0.17,0.361,0.113,873.3,716.1,0.254,0.111,546.44,12.2,49,10,"Q3","266","Democrat"
"16","New York","NY","Monroe County, New York",40.25155858,54.3668245,1.548269012,3.833347909,11.6,88.4,34.8,15.1,81.5,29746.92032,20.8,7.65,737982,54.5,13.4,18.6,74.25,14.1,6.6,3,0.2,1.8,38.1,3.6,3.4,0.08,27.5,0.386,0.181,0.302,0.096,671.8,340.9,0.101,0.08,363.42,6.36,44,7,"Q4","16","Democrat"
"299","New Mexico","NM","Doqa Ana County, New Mexico",35.91413238,53.72880143,1.346690519,7.746690519,24.5,75.5,25.4,10,76.3,19010.35048,40.05,14.35,203526,29.8,24.55,34.9,30.4,1.55,65.25,0.95,0.8,1.05,32.2,3.7,3.4,0.08,66.6,0.382,0.158,0.254,0.072,580.1,156.7,0.26,0.071,381.54,3.84,69.4,4.6,"Q1","299","Democrat"
"215","Alabama","AL","Lowndes County, Alabama",26.22828041,73.12762133,0.164769323,0.479328939,26.6,73.4,12.7,3.7,72.35,21425.47334,50.25,17.65,11965,58.5,26.55,38.7,26.6,71.95,0.5,0.05,0.25,0.55,39.7,4.8,4.2,0.14,63.4,0.574,0.226,0.438,0.193,1022.7,536.2,0.174,0.141,510.46,22.7,93.7,NA,"Q1","215","Democrat"
"91","Alabama","AL","Sumter County, Alabama",24.73791269,74.15115005,0.21905805,0.891879205,24.6,75.4,12.8,5.3,80.3,17046.56794,50.15,30,13515,78.8,37.5,55.15,25.05,72.8,1,0.2,0.05,0.9,36.9,4.3,5.4,0.14,33.8,0.618,0.17,0.401,0.16,979.4,292.2,0.179,0.116,322.68,NA,66.3,NA,"Q1","91","Democrat"
"313","South Dakota","SD","Dewey County, South Dakota",42.35500879,51.96250732,NA,4.159343878,20.3,79.7,12.6,3.4,77,21851.72,46.85,16.25,5654,42.7,30,37.45,21.7,0.05,1,0.05,74.15,3,28.8,4.9,2.9,0.06,98,0.574,0.334,0.423,0.171,2139.8,NA,0.257,0.132,24.09,NA,187,NA,"Q1","313","Democrat"
"324","New York","NY","Schenectady County, New York",44.24540395,50.09005501,1.697252917,3.967288127,10,90,28.7,13,80,31623.38222,21.9,7.4,152600,48.4,10.95,15.55,78.75,8.3,5.05,3.45,0.35,4.1,39.7,3.8,2.5,0.09,27,0.36,0.179,0.274,0.113,445.6,307.1,0.106,0.079,450.99,4.51,40.1,7.6,"Q4","324","Democrat"
"60","North Carolina","NC","Bertie County, North Carolina",37.0575693,62.22814499,NA,0.714285714,27.7,72.3,10.1,2.8,71.05,20956.98064,39.45,16.55,20234,46.9,22.9,39.2,35.05,62.4,1.2,0.3,0.4,0.65,43.3,4.1,2.3,0.13,59.2,0.498,0.185,0.35,0.148,847.9,391.4,0.173,0.121,173.74,6.92,86.1,13,"Q1","60","Democrat"
"348","North Carolina","NC","Northampton County, North Carolina",36.43069358,62.62678004,NA,0.94252638,30.9,69.1,12,4.5,75.65,22517.62032,42.9,16.9,21355,38.1,22.6,35.1,39.4,57.85,1.25,0.1,0.25,1.1,44.5,4.1,3.6,0.14,55.8,0.641,0.215,0.307,0.142,621.2,382.1,0.173,0.11,274.39,9.68,82.1,14.9,"Q2","348","Democrat"
"327","New Jersey","NJ","Atlantic County, New Jersey",45.28362557,51.51601127,0.882369631,1.811080217,15.3,84.7,23.6,7.2,82.15,30503.32508,19.45,11.15,272282,52.1,11.2,15.55,59.95,15.25,15.7,6.9,0.15,2.05,39.4,4.2,4,0.09,35.3,0.387,0.201,0.27,0.099,409.3,627.4,0.172,0.135,525.77,6.15,57.8,8.4,"Q4","327","Democrat"
"387","Texas","TX","Webb County, Texas",22.76539997,74.37881372,1.039267062,1.816519247,37.3,62.7,16.7,4.4,79.15,19049.17461,44.85,25.9,240669,47.9,29.85,40.35,3.95,0.2,95.1,0.45,0.05,0.2,27.4,3.8,2.9,0.07,91.9,0.38,0.166,0.307,0.088,389.9,172.8,0.364,0.071,520.63,7.43,41.3,5.4,"Q1","387","Democrat"
"65","New York","NY","Queens County, New York",22.0965486,75.49810931,1.35753029,1.047811796,20,80,29.5,10.3,78.3,32150.97492,16.9,12.8,2254791,53.1,12.55,17.05,29.35,17.9,26.9,22.05,0.3,3.5,37.1,3.3,3.5,0.08,23.7,0.329,0.132,0.229,0.093,575.2,862.6,0.204,0.083,589.07,4.49,31.3,5.2,"Q4","65","Democrat"
"2201","Virginia","VA","Henrico County, Virginia",36.84353506,57.79916773,0.673598163,3.454428707,10.9,89.1,38.9,14.2,77.8,34832.33746,16.25,5.6,298053,50.2,9.2,13.4,59.55,27.9,4.3,5.85,0.3,2.1,37.1,2.8,2.6,0.09,26.2,0.336,0.17,0.279,0.094,463.2,269.1,0.14,0.056,158.2,5.81,48.9,8.3,"Q4","220","Democrat"
"292","Michigan","MI","Kalamazoo County, Michigan",40.51172539,53.30168458,1.297175428,4.479780258,8.3,91.7,33.4,12.7,79.85,23422.4054,24.9,7.85,247692,45.7,18.2,19.75,81,10.25,3.7,2.1,0.4,2.6,33.9,3.7,3.6,0.08,30,0.356,0.183,0.307,0.099,696.2,132.5,0.131,0.07,429.79,3.37,60.4,7.7,"Q2","292","Democrat"
"352","South Carolina","SC","Hampton County, South Carolina",39.60654992,58.71048442,0.216056402,0.784625881,24.1,75.9,11,3.3,71.9,22471.54127,33.3,19.15,21043,48.2,20.5,27.35,41.1,53.8,3.35,0.45,0.15,1.15,37.6,4,3.1,0.11,55.8,0.476,0.189,0.424,0.167,773.3,593.5,0.203,0.123,739.9,12.83,86.9,11.8,"Q2","352","Democrat"
"56","Alabama","AL","Dallas County, Alabama",30.88093967,68.47837694,0.128136679,0.512546716,23.2,76.8,14.3,6,76.6,21582.38032,53.35,26.85,43284,43.1,31.9,47.05,30.3,67.95,0.75,0.35,0.2,0.45,36.8,3.9,3.6,0.13,74.6,0.653,0.206,0.414,0.151,1262.3,362.5,0.159,0.137,794.32,19.7,80.8,8.6,"Q1","56","Democrat"
"234","Virginia","VA","Suffolk city, Virginia",41.03603711,54.88325503,0.510386606,2.56385795,15.3,84.7,25.1,8.7,76.2,35185.89397,18.1,8.35,82823,47.9,10.95,16.3,52.3,41.4,2.7,1.5,0.25,1.9,37.5,2.8,2.8,0.1,36.8,0.364,0.192,0.324,0.119,859.5,319.8,0.128,0.068,323,7.42,50.9,10,"Q4","234","Democrat"
"182","Texas","TX","Starr County, Texas",18.97185869,79.08647678,0.581644,1.360020529,52.1,47.9,9.8,2.8,75.55,14206.17873,52.5,34.6,60952,44.6,38.9,48.15,2.5,0,97.15,0.15,0.05,0.1,28.6,4.4,4.6,0.09,101.2,0.357,NA,0.293,0.09,341.9,66.1,0.346,0.15,272.31,8.18,44.4,3.7,"Q1","182","Democrat"
"160","Ohio","OH","Franklin County, Ohio",34.67174799,60.56505099,1.043606491,3.398346166,11.1,88.9,35,12.2,77.25,30625.87111,25.6,9.6,1143743,42.5,16.4,22.1,69.05,20.05,4.4,3.7,0.15,2.6,33.4,3.7,3.9,0.09,43.6,0.388,0.197,0.303,0.1,628.8,375.6,0.153,0.061,509.95,9.14,59.9,8.5,"Q4","160","Democrat"
"176","Oregon","OR","Multnomah County, Oregon",17.62484557,75.95943672,3.181724163,3.233993549,11,89,37.5,14.3,74.65,28976.63651,21.65,12,716966,49.4,15.75,20.85,73.1,5.45,10.55,6.25,0.7,4,35.8,3.4,3.2,0.07,33.1,0.328,0.135,0.223,0.074,529,450.1,0.186,0.078,496.74,4.14,64.8,5.6,"Q4","176","Democrat"
"122","Washington","WA","Kitsap County, Washington",39.42002107,51.05247629,1.847839831,6.770073762,7.3,92.7,28,10,71.4,31583.19365,14.15,5.2,244979,51.9,9.15,11.15,80.45,2.5,5.55,4.6,1.35,5.5,38.9,3.7,3.4,0.06,26.1,0.282,0.169,0.297,0.086,327.1,86.7,0.132,0.074,379.69,1.8,55.3,5,"Q4","122","Democrat"
"316","New Mexico","NM","Bernalillo County, New Mexico",34.51199247,52.19040896,1.313215982,10.80609109,13.8,86.2,31.5,14,75.4,27388.68381,24.65,9.6,644693,42.2,15.4,22.05,42.4,2.65,46.75,2.2,4.1,1.95,35.7,3.6,3.5,0.09,50,0.395,0.175,0.193,0.059,576.8,190.6,0.207,0.071,766.41,8.09,91.9,6.1,"Q3","316","Democrat"
"189","Virginia","VA","Martinsville city, Virginia",36.59117998,60.12259493,0.493785118,1.924059254,21.7,78.3,20.4,6.8,76.65,21323.02318,35.9,16.85,14240,50,22.15,30.25,50.45,43.15,4.3,0.85,0.2,0.95,43.4,NA,NA,0.11,67.3,0.564,NA,0.323,0.135,855.5,345.7,0.16,0.16,295.4,NA,82.6,NA,"Q1","189","Democrat"
"287","Virginia","VA","Prince Edward County, Virginia",44.97969933,50.36760672,0.581586744,3.138373752,18.8,81.2,18.5,7.6,86.85,14194.64318,21.95,7.35,22474,73.1,16.6,19.7,62.35,33.8,1.65,0.5,0.25,1.45,31.4,2.9,3.8,0.11,18,0.342,0.256,0.338,0.101,664,150.2,0.175,0.087,147.46,NA,64.3,NA,"Q1","287","Democrat"
"280","Washington","WA","Snohomish County, Washington",37.62019541,54.26338305,1.74121798,5.535451185,9.3,90.7,28.2,8.3,73.75,36464.12286,11.8,7.5,693522,38.2,8.3,10.65,76.25,2.25,8,8.35,1.15,4.05,36.7,3.7,3.6,0.06,22.8,0.261,0.156,0.291,0.082,243.5,109.9,0.148,0.078,222.68,2.33,54.5,4.6,"Q4","280","Democrat"
"341","North Carolina","NC","Forsyth County, North Carolina",43.35599882,53.61343466,NA,3.030566521,13.1,86.9,31.2,10.3,77.25,28197.07111,27.45,7.15,348760,43.5,15,22.95,60.4,25.25,10.95,1.65,0.3,1.45,37.2,3,3,0.1,44,0.386,0.197,0.26,0.101,765.7,437.7,0.187,0.09,563.58,6.44,58.6,10,"Q4","341","Democrat"
"284","North Dakota","ND","Rolette County, North Dakota",33.04205352,57.26379028,4.778809394,4.232659749,17.9,82.1,16.5,6.5,54.3,24406.4581,43.95,23.35,13804,28.7,30.15,40.1,22.15,0.3,0.85,0.1,74.55,2.1,30.6,3.6,3.4,0.09,97.4,0.532,0.358,0.403,0.145,950.3,NA,0.194,0.112,31.57,NA,107.6,NA,"Q2","284","Democrat"
"7","Georgia","GA","Warren County, Georgia",42.49571184,56.30360206,NA,1.200686106,30.4,69.6,4.7,1.5,73.95,23740.86762,45.5,18.25,5860,63.4,22.5,35.55,39,59.65,0.6,0.3,0.15,0.35,43.3,10,2.9,0.13,66.9,0.496,NA,0.372,0.153,576.8,159.5,0.213,0.158,531.91,NA,80.8,NA,"Q2","7","Democrat"
"153","Washington","WA","King County, Washington",21.71453729,72.14892465,1.653559473,3.982881416,8.1,91.9,45.2,16.4,77,38516.32191,13.75,8.75,1895018,51.2,9.95,12.05,66.7,5.85,8.2,13.75,0.65,4.75,36.9,3,2.9,0.07,19.1,0.248,0.111,0.225,0.068,324.2,405.8,0.139,0.068,352.19,3.46,49.7,4.5,"Q4","153","Democrat"
"201","Ohio","OH","Athens County, Ohio",38.71013922,55.66014101,1.814537776,3.378547654,13.2,86.8,27.3,15.1,87.3,10229.87841,41.15,10.6,63915,38.2,31.55,31.7,91.6,2.7,1.4,2.35,0.15,1.8,25.9,3.7,5.2,0.08,14.1,0.319,0.303,0.331,0.097,369,68.7,0.171,0.077,101.67,NA,57.1,7,"Q1","201","Democrat"
